# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.invertedFileNameIndex.requests,1740391203263000000,1740391263338000000,0
FileNameCache.totalMisses,1740391203263000000,1740391263338000000,64
FileNameCache.queries,1740391203263000000,1740391263338000000,1792
VFS.contentStorage.recordsUncompressedSize,1740391203263000000,1740391263338000000,0
JVM.maxHeapBytes,1740391203263000000,1740391263338000000,2147483648
JVM.totalBytesAllocated,1740391203263000000,1740391263338000000,654532568
JVM.GC.collectionTimesMs,1740391203263000000,1740391263338000000,106
JVM.totalSafepointCount,1740391203263000000,1740391263338000000,136
JVM.newThreadsCount,1740391203263000000,1740391263338000000,64
JVM.usedNativeBytes,1740391203263000000,1740391263338000000,263167472
JVM.usedHeapBytes,1740391203263000000,1740391263338000000,232527008
JVM.totalDirectByteBuffersBytes,1740391203263000000,1740391263338000000,203497984
JVM.totalTimeToSafepointsMs,1740391203263000000,1740391263338000000,13
OS.loadAverage,1740391203263000000,1740391263338000000,0.6875
JVM.maxThreadCount,1740391203263000000,1740391263338000000,62
JVM.totalTimeAtSafepointsMs,1740391203263000000,1740391263338000000,113
JVM.threadCount,1740391203263000000,1740391263338000000,58
JVM.totalCpuTimeMs,1740391203263000000,1740391263338000000,24140
JVM.GC.collections,1740391203263000000,1740391263338000000,25
Indexes.allKeys.lookupDurationAvgMs,1740391203263000000,1740391263338000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1740391203263000000,1740391263338000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1740391203263000000,1740391263338000000,0
Indexes.entries.lookups,1740391203263000000,1740391263338000000,2
Indexing.cache.totalCacheAccesses,1740391203263000000,1740391263338000000,98
IndexesFlusher.totalFlushesRetried,1740391203263000000,1740391263338000000,0
Indexing.totalTimeIndexersSleptMs,1740391203263000000,1740391263338000000,0
Indexing.cache.totalCacheEvicted,1740391203263000000,1740391263338000000,48
Indexes.entries.lookupDuration90PMs,1740391203263000000,1740391263338000000,0.0
Indexes.entries.lookupDurationAvgMs,1740391203263000000,1740391263338000000,0.0
IndexesFlusher.totalFlushes,1740391203263000000,1740391263338000000,59
Indexes.entries.lookupDurationMaxMs,1740391203263000000,1740391263338000000,0.0
IndexesFlusher.totalFlushingTimeUs,1740391203263000000,1740391263338000000,317684
Indexing.writesQueuedMin,1740391203263000000,1740391263338000000,9223372036854775807
Indexing.writesQueuedMax,1740391203263000000,1740391263338000000,0
Indexes.stubs.lookupDurationAvgMs,1740391203263000000,1740391263338000000,0.0
Indexes.allKeys.lookups,1740391203263000000,1740391263338000000,0
Indexes.allKeys.lookupDurationMaxMs,1740391203263000000,1740391263338000000,0.0
Indexing.cache.totalCacheMisses,1740391203263000000,1740391263338000000,48
Indexes.stubs.lookupDuration90PMs,1740391203263000000,1740391263338000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1740391203263000000,1740391263338000000,0
Indexes.stubs.lookupDurationMaxMs,1740391203263000000,1740391263338000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1740391203263000000,1740391263338000000,0
IndexesFlusher.totalContentionQuotaSpent,1740391203263000000,1740391263338000000,0
Indexes.stubs.lookups,1740391203263000000,1740391263338000000,82
Indexes.allKeys.lookupDuration90PMs,1740391203263000000,1740391263338000000,0.0
WriteAction.executionsCount,1740391203263000000,1740391263338000000,11
FlushQueue.executionTimeMaxNs,1740391203263000000,1740391263338000000,0
NonBlockingReadAction.failedExecutionsCount,1740391203263000000,1740391263338000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1740391203263000000,1740391263338000000,26876
FlushQueue.queueSizeAvg,1740391203263000000,1740391263338000000,0.0
AWTEventQueue.eventsDispatched,1740391203263000000,1740391263338000000,1
FlushQueue.tasksExecuted,1740391203263000000,1740391263338000000,0
AWTEventQueue.dispatchTime90PNs,1740391203263000000,1740391263338000000,88575
FlushQueue.executionTimeAvgNs,1740391203263000000,1740391263338000000,0.0
FlushQueue.queueSize90P,1740391203263000000,1740391263338000000,0
FlushQueue.waitingTimeAvgNs,1740391203263000000,1740391263338000000,0.0
FlushQueue.waitingTimeMaxNs,1740391203263000000,1740391263338000000,0
NonBlockingReadAction.finalizedExecutionsCount,1740391203263000000,1740391263338000000,2
ReadAction.executionsCount,1740391203263000000,1740391263338000000,1939
AWTEventQueue.dispatchTimeAvgNs,1740391203263000000,1740391263338000000,88320.0
NonBlockingReadAction.failedExecutionTimeUs,1740391203263000000,1740391263338000000,0
AWTEventQueue.dispatchTimeTotalNS,1740391203263000000,1740391263338000000,2723558340
AWTEventQueue.dispatchTimeMaxNs,1740391203263000000,1740391263338000000,88575
FlushQueue.executionTime90PNs,1740391203263000000,1740391263338000000,0
